Serial;Date;Latitude;Longitude;Altitude;Frequency;Type;Climb;Speed
U1460259;2022-10-05T01:49:11;54.41150;10.83250;17627;402.500;RS41-SGP;2.0;31
U1460353;2022-10-05T01:49:09;53.65450;8.28350;19550;405.300;RS41-SGP;4.2;22
IMET91224;2022-10-05T01:49:06;50.66050;5.49100;15080;403.000;iMET;3.3;39
T3020565;2022-10-05T01:49:06;48.96600;11.96467;18343;404.900;RS41-SGP;4.0;11
T3350591;2022-10-05T01:49:08;51.77633;14.51483;20020;405.100;RS41-SGP;5.4;6
T3040091;2022-10-05T01:49:10;49.42567;7.58367;19450;402.700;RS41-SGP;3.5;17
U2270646;2022-10-05T01:49:09;50.20467;10.72850;14431;402.300;RS41-SGP;4.0;76
U2220980;2022-10-05T01:49:05;47.82067;11.47483;20482;402.300;RS41-SGP;4.3;11
U1460497;2022-10-05T01:49:06;53.70983;14.33533;16506;402.300;RS41-SGP;5.4;31
T1330041;2022-10-05T01:49:07;52.58400;10.78850;17150;405.700;RS41-SGP;4.5;26
U1450450;2022-10-05T01:49:11;51.24750;7.72667;14745;405.300;RS41-SGP;4.8;56
U0220265;2022-10-05T01:49:07;49.79633;14.53250;11891;401.100;RS41-SG;6.5;113
U1620167;2022-10-05T01:49:09;48.46033;9.27217;17576;404.500;RS41-SGP;3.4;9
U1950262;2022-10-05T01:49:07;45.55400;12.89717;17340;404.000;RS41-SG;4.7;43
ME9A02139;2022-10-05T01:48:16;54.52600;18.01900;10243;403.604;M20;5.2;107
ME9A01328;2022-10-05T01:48:17;50.84633;17.02483;11321;403.002;M20;4.4;120
S3221486;2022-10-05T01:49:01;46.57867;6.86383;14538;403.500;RS41-SG;4.5;54
T1520411;2022-10-05T01:49:11;52.16550;5.43700;6311;403.900;RS41-SGP;6.3;74
T1040795;2022-10-05T01:49:11;49.14750;17.12150;12540;402.100;RS41-SGM;11.2;126
T1710424;2022-10-05T01:49:02;48.15817;16.37300;7189;403.500;RS41-SG;8.9;67
U1060076;2022-10-05T01:47:48;52.12183;21.14267;10251;404.500;RS41-SG;6.5;133
